"","ID","Strain","Condition","cond_clusters","PC1","PC2"
"1","JE2_B10.1","JE2","supernatant",2,-1.11857661327798,-0.348950319705421
"2","JE2_B10.2","JE2","supernatant",2,0.430104962640688,0.585744471539684
"3","JE2_B10.3","JE2","supernatant",2,-1.22253338555368,-0.0378210528078262
"4","JE2_B10.4","JE2","supernatant",2,0.418737906365992,1.34796358258982
"5","JE2_B10.5","JE2","supernatant",2,0.389129803445477,1.3619827365135
"6","JE2_B4.1","JE2","supernatant",2,-1.11575076093599,-0.288221716898638
"7","JE2_B4.2","JE2","supernatant",2,-1.27483487879678,-0.530199466194774
"8","JE2_B4.3","JE2","supernatant",2,-1.45331704617226,0.242686516308125
"9","JE2_B4.4","JE2","supernatant",2,-1.3543208003496,0.0531044731494943
"10","JE2_B4.5","JE2","supernatant",2,-1.32597265985083,-0.0161674239187115
"11","JE2_B6.1","JE2","supernatant",2,0.653778678616715,0.779050413198558
"12","JE2_B6.2","JE2","supernatant",2,-1.37729254707835,0.171919708018212
"13","JE2_B6.3","JE2","supernatant",2,-1.48610210679666,0.252201093765541
"14","JE2_B6.4","JE2","supernatant",2,-1.58083437415312,0.566868203748573
"15","JE2_B6.5","JE2","supernatant",2,0.741916830533332,0.803728853497029
"16","JE2_D2.1","JE2","supernatant",2,-1.15305122620296,-0.424244332200117
"17","JE2_D2.2","JE2","supernatant",2,-1.04690457260897,-0.410523678104061
"18","JE2_D2.3","JE2","supernatant",2,-1.17584213874237,-0.322102357865208
"19","JE2_D2.4","JE2","supernatant",2,-1.02092670277837,-0.526060463962274
"20","JE2_D2.5","JE2","supernatant",2,-1.03964438838183,-0.459777422454328
"21","JE2_D4.1","JE2","supernatant",2,-0.131085830819553,0.142938560487849
"22","JE2_D4.2","JE2","supernatant",2,0.829470138258323,0.32686999993373
"23","JE2_D4.3","JE2","supernatant",2,-1.60549502994283,0.276335102943519
"24","JE2_D4.4","JE2","supernatant",2,0.698247396383457,0.56247749237048
"25","JE2_D4.5","JE2","supernatant",2,-1.56541461156016,0.111689397409573
"26","JE2_D10.1","JE2","TSB",1,0.907552817528359,-0.82142357577387
"27","JE2_D10.2","JE2","TSB",1,1.0080259300251,0.285702505662523
"28","JE2_D10.3","JE2","TSB",1,0.88696382979591,-0.652495505174813
"29","JE2_D10.4","JE2","TSB",1,1.02799259842952,0.252731786074448
"30","JE2_D10.5","JE2","TSB",1,0.881954629715239,-0.775613130967922
"31","JE2_D8.1","JE2","TSB",1,-0.0264898221380981,-1.0514837981417
"32","JE2_D8.2","JE2","TSB",1,-0.124062597442896,-0.75179360366418
"33","JE2_D8.3","JE2","TSB",1,0.648686205181261,0.125827267651742
"34","JE2_D8.4","JE2","TSB",1,-0.182906673677837,0.358348032976214
"35","JE2_D8.5","JE2","TSB",1,-1.09772384284531,0.753712434930273
"36","JE2_F10.1","JE2","TSB",1,0.991818944210765,-0.382442816981912
"37","JE2_F10.2","JE2","TSB",1,1.00605771472959,-0.50020098488399
"38","JE2_F10.3","JE2","TSB",1,0.736061106198779,-0.0744131929591973
"39","JE2_F10.4","JE2","TSB",1,1.01638093870423,-0.662320960391652
"40","JE2_F10.5","JE2","TSB",1,0.941293728011515,-0.513025818086558
"41","JE2_F2.1","JE2","TSB",1,0.78910696030601,0.340706062403257
"42","JE2_F2.2","JE2","TSB",1,1.12556895567185,0.352660716461728
"43","JE2_F2.3","JE2","TSB",1,1.23327227516642,0.250514287749243
"44","JE2_F2.4","JE2","TSB",1,0.648211551638082,0.499771419233883
"45","JE2_F2.5","JE2","TSB",1,0.779909902999424,0.0560143702818953
"46","JE2_F4.1","JE2","TSB",1,1.02063569041876,-0.567781236336794
"47","JE2_F4.2","JE2","TSB",1,0.782951138318521,0.105671919088464
"48","JE2_F4.3","JE2","TSB",1,1.01978466374375,-1.09965311256087
"49","JE2_F4.4","JE2","TSB",1,0.912015850962138,0.78781933813278
"50","JE2_F4.5","JE2","TSB",1,0.953451462107221,-0.538324776085322
