,seqname,source,feature,start,end,score,strand,frame,ID,Dbxref,Is_circular,Name,gbkey,genome,mol_type,strain,sub-species,gene,gene_biotype,locus_tag,Parent,product,protein_id,transl_table,Note,description,mobile_element_type,gene_synonym
0,CP006706.1,Genbank,region,1,2736560,,+,,CP006706.1:1..2736560,taxon:1392476,true,ANONYMOUS,Src,chromosome,genomic DNA,6850,aureus,,,,,,,,,,,
1,CP006706.1,Genbank,gene,101,1462,,+,,gene-RSAU_000001,,,dnaA,Gene,,,,,dnaA,protein_coding,RSAU_000001,,,,,,,,
2,CP006706.1,Genbank,CDS,101,1462,,+,0,cds-AGU53885.1,NCBI_GP:AGU53885.1,,AGU53885.1,CDS,,,,,dnaA,,RSAU_000001,gene-RSAU_000001,chromosomal replicator initiator protein,AGU53885.1,11,,,,
3,CP006706.1,Genbank,gene,1740,2873,,+,,gene-RSAU_000002,,,dnaN,Gene,,,,,dnaN,protein_coding,RSAU_000002,,,,,,,,
4,CP006706.1,Genbank,CDS,1740,2873,,+,0,cds-AGU53886.1,NCBI_GP:AGU53886.1,,AGU53886.1,CDS,,,,,dnaN,,RSAU_000002,gene-RSAU_000002,DNA polymerase III%2C beta subunit,AGU53886.1,11,,,,
5,CP006706.1,Genbank,gene,3263,3499,,+,,gene-RSAU_000003,,,yaaA,Gene,,,,,yaaA,protein_coding,RSAU_000003,,,,,,,,
6,CP006706.1,Genbank,CDS,3263,3499,,+,0,cds-AGU53887.1,NCBI_GP:AGU53887.1,,AGU53887.1,CDS,,,,,yaaA,,RSAU_000003,gene-RSAU_000003,S4 domain protein YaaA,AGU53887.1,11,,,,
7,CP006706.1,Genbank,gene,3496,4608,,+,,gene-RSAU_000004,,,recF,Gene,,,,,recF,protein_coding,RSAU_000004,,,,,,,,
8,CP006706.1,Genbank,CDS,3496,4608,,+,0,cds-AGU53888.1,NCBI_GP:AGU53888.1,,AGU53888.1,CDS,,,,,recF,,RSAU_000004,gene-RSAU_000004,DNA replication and repair protein,AGU53888.1,11,,,,
9,CP006706.1,Genbank,gene,4630,6552,,+,,gene-RSAU_000005,,,gyrB,Gene,,,,,gyrB,protein_coding,RSAU_000005,,,,,,,,
10,CP006706.1,Genbank,CDS,4630,6552,,+,0,cds-AGU53889.1,NCBI_GP:AGU53889.1,,AGU53889.1,CDS,,,,,gyrB,,RSAU_000005,gene-RSAU_000005,DNA gyrase%2C B subunit,AGU53889.1,11,,,,
11,CP006706.1,Genbank,gene,6589,9249,,+,,gene-RSAU_000006,,,gyrA,Gene,,,,,gyrA,protein_coding,RSAU_000006,,,,,,,,
12,CP006706.1,Genbank,CDS,6589,9249,,+,0,cds-AGU53890.1,NCBI_GP:AGU53890.1,,AGU53890.1,CDS,,,,,gyrA,,RSAU_000006,gene-RSAU_000006,DNA gyrase%2C A subunit,AGU53890.1,11,,,,
13,CP006706.1,Genbank,gene,9333,10145,,-,,gene-RSAU_000007,,,RSAU_000007,Gene,,,,,,protein_coding,RSAU_000007,,,,,,,,
14,CP006706.1,Genbank,CDS,9333,10145,,-,0,cds-AGU53891.1,NCBI_GP:AGU53891.1,,AGU53891.1,CDS,,,,,,,RSAU_000007,gene-RSAU_000007,YxkO-related protein,AGU53891.1,11,,,,
15,CP006706.1,Genbank,gene,10471,11985,,+,,gene-RSAU_000008,,,hutH,Gene,,,,,hutH,protein_coding,RSAU_000008,,,,,,,,
16,CP006706.1,Genbank,CDS,10471,11985,,+,0,cds-AGU53892.1,NCBI_GP:AGU53892.1,,AGU53892.1,CDS,,,,,hutH,,RSAU_000008,gene-RSAU_000008,histidine ammonia-lyase,AGU53892.1,11,,,,
17,CP006706.1,Genbank,gene,12364,13650,,+,,gene-RSAU_000009,,,serS,Gene,,,,,serS,protein_coding,RSAU_000009,,,,,,,,
18,CP006706.1,Genbank,CDS,12364,13650,,+,0,cds-AGU53893.1,NCBI_GP:AGU53893.1,,AGU53893.1,CDS,,,,,serS,,RSAU_000009,gene-RSAU_000009,seryl-tRNA synthetase,AGU53893.1,11,,,,
19,CP006706.1,Genbank,gene,14298,14993,,+,,gene-RSAU_000010,,,RSAU_000010,Gene,,,,,,protein_coding,RSAU_000010,,,,,,,,
20,CP006706.1,Genbank,CDS,14298,14993,,+,0,cds-AGU53894.1,NCBI_GP:AGU53894.1,,AGU53894.1,CDS,,,,,,,RSAU_000010,gene-RSAU_000010,amino acid transporter%2C putative,AGU53894.1,11,,,,
21,CP006706.1,Genbank,gene,14990,15319,,+,,gene-RSAU_000011,,,RSAU_000011,Gene,,,,,,protein_coding,RSAU_000011,,,,,,,,
22,CP006706.1,Genbank,CDS,14990,15319,,+,0,cds-AGU53895.1,NCBI_GP:AGU53895.1,,AGU53895.1,CDS,,,,,,,RSAU_000011,gene-RSAU_000011,hypothetical protein,AGU53895.1,11,,,,
23,CP006706.1,Genbank,gene,15682,16650,,+,,gene-RSAU_000012,,,RSAU_000012,Gene,,,,,,protein_coding,RSAU_000012,,,,,,,,
24,CP006706.1,Genbank,CDS,15682,16650,,+,0,cds-AGU53896.1,NCBI_GP:AGU53896.1,,AGU53896.1,CDS,,,,,,,RSAU_000012,gene-RSAU_000012,homoserine O-acetyltransferase%2C putative,AGU53896.1,11,,,,
25,CP006706.1,Genbank,gene,16958,17881,,+,,gene-RSAU_000013,,,RSAU_000013,Gene,,,,,,protein_coding,RSAU_000013,,,,,,,,
26,CP006706.1,Genbank,CDS,16958,17881,,+,0,cds-AGU53897.1,NCBI_GP:AGU53897.1,,AGU53897.1,CDS,,,,,,,RSAU_000013,gene-RSAU_000013,hypothetical protein,AGU53897.1,11,,,,
27,CP006706.1,Genbank,gene,17896,19863,,+,,gene-RSAU_000014,,,RSAU_000014,Gene,,,,,,protein_coding,RSAU_000014,,,,,,,,
28,CP006706.1,Genbank,CDS,17896,19863,,+,0,cds-AGU53898.1,NCBI_GP:AGU53898.1,,AGU53898.1,CDS,,,,,,,RSAU_000014,gene-RSAU_000014,DHH family phosphoesterase%2C putative,AGU53898.1,11,,,,
29,CP006706.1,Genbank,gene,19860,20306,,+,,gene-RSAU_000015,,,rplI,Gene,,,,,rplI,protein_coding,RSAU_000015,,,,,,,,
